,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1435,CHEMBL269252,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2Cl)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2Cl)SC1(C)C,active,544.0920000000001,3.1424600000000016,4.0,5.0,7.853871964321762
1436,,,,525.6900000000003,3.7485000000000017,4.0,5.0,
1437,CHEMBL66460,CCC(CC)NC(=O)C[C@@H](C(=O)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cnc2ccccc2n1)C(C)C)C(C)(C)C,active,709.8879999999998,4.3286000000000024,4.0,9.0,8.657577319177793
1438,CHEMBL104525,COC(=O)[C@@H](NC(=O)Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)Cc3ccccc3)C(=O)OC)SC2(C)C)C(C)(C)S1,active,731.894,4.586200000000003,4.0,9.0,7.221848749616356
1439,CHEMBL106282,CCNC(=O)[C@@H](NC(=O)c1ccccc1Cc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3Cc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,527.706,3.435200000000001,3.0,6.0,7.142667503568732
1440,CHEMBL105880,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2)SC1(C)C,active,486.01200000000017,2.5115999999999996,3.0,4.0,8.1249387366083
1441,CHEMBL386631,CC1(C)S[C@H]([C@H](NC(=O)c2ccccc2-c2ccccc2)C(=O)NCC(=O)O)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)c2ccccc2-c2ccccc2)C(=O)NCC(=O)O)SC1(C)C,active,737.923,4.647700000000003,4.0,10.0,7.4089353929735005
1442,CHEMBL97547,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,active,527.706,3.435200000000001,3.0,6.0,7.481486060122112
1443,CHEMBL322171,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,active,544.0920000000002,3.1424600000000016,4.0,5.0,7.022276394711152
1444,CHEMBL107250,CC1(C)S[C@H]([C@@H](CO)NC(=O)Cc2ccccc2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@@H](CO)NC(=O)Cc2ccccc2)SC1(C)C,active,559.6880000000002,6.178380000000006,2.0,7.0,6.853871964321762
1445,CHEMBL318293,CC(C)(C)NC(=O)c1ccccc1CC(O)CSc1ccccc1NC(=O)C(C)(C)C,active,717.8670000000001,4.908500000000004,4.0,9.0,3.6989700043360187
1446,CHEMBL95011,CC(C)(C)NC(=O)c1ccccc1CC[C@@H](O)CN1CCC[C@H]1C(=O)NC(C)(C)C,active,502.0110000000002,2.217199999999999,4.0,5.0,5.0
1447,CHEMBL440322,CC(C)(C)NC(=O)c1c(CCC(O)Cc2ccc3ccccc3c2C(=O)NC(C)(C)C)ccc2ccccc12,active,611.9080000000001,3.1162,3.0,4.0,4.939302159646388
1448,CHEMBL2092978,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,active,615.8150000000002,5.5796000000000054,4.0,5.0,6.236572006437063
1449,CHEMBL2092977,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1,active,599.7690000000002,2.732600000000001,6.0,7.0,6.309803919971486
1450,CHEMBL2111770,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1,active,584.7380000000002,7.459900000000007,2.0,6.0,6.0
1452,CHEMBL106965,CCNC(=O)[C@@H](NC(=O)c1ccccc1Oc1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3Oc3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,529.7220000000001,3.659200000000002,3.0,6.0,6.795880017344075
1454,CHEMBL94497,CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccccc1)NC(=O)[C@H](NC(C)=O)C(C)C)C(C)C,active,580.1250000000001,3.9872400000000026,4.0,5.0,7.522878745280337
1455,CHEMBL419513,CC(C)(C)NC(=O)c1ccccc1CC[C@H](O)CN1CCC[C@H]1C(=O)NC(C)(C)C,active,531.7190000000002,6.372900000000006,2.0,7.0,5.0
1456,CHEMBL222559,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,active,487.6220000000003,4.8125000000000036,2.0,7.0,7.522878745280337
